name,value
computer, 0.567361111111111
party, 0.399305555555556
Walk, 0.297916666666667
Bus, 0.24375
Meeting, 0.224305555555556
Video games, 0.222222222222222
Eat, 0.188194444444444
Sleep, 0.188194444444444
Work, 0.159722222222222
Movie, 0.141666666666667
Train, 0.129166666666667
vehicle, 0.113888888888889
Football, 0.107638888888889
Cooking, 0.0826388888888889
Watching TV, 0.0826388888888889
Shopping, 0.0715277777777778
Running, 0.0347222222222222
